,color,description,direction_destinations,direction_names,fare_class,long_name,short_name,sort_order,text_color,type
501,FFC72C,Commuter Bus,"['Brighton Center', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Inner Express,Brighton Center - Federal Street & Franklin Street,501,55010,000000,3
504,FFC72C,Commuter Bus,"['Watertown Yard', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Inner Express,Watertown Yard - Federal Street & Franklin Street,504,55040,000000,3
505,FFC72C,Commuter Bus,"['Waltham Center', 'Federal Street & Franklin Street']","['Outbound', 'Inbound']",Inner Express,Waltham Center - Federal Street & Franklin Street,505,55050,000000,3
553,FFC72C,Local Bus,"['Roberts', 'Newton Corner']","['Outbound', 'Inbound']",Local Bus,Roberts - Newton Corner,553,55530,000000,3
554,FFC72C,Local Bus,"['Waverley Square', 'Newton Corner']","['Outbound', 'Inbound']",Local Bus,Waverley Square - Newton Corner,554,55540,000000,3
556,FFC72C,Commuter Bus,"['Waltham Highlands', 'Newton Corner']","['Outbound', 'Inbound']",Local Bus,Waltham Highlands - Newton Corner,556,55560,000000,3
558,FFC72C,Commuter Bus,"['Riverside Station', 'Newton Corner']","['Outbound', 'Inbound']",Local Bus,Riverside Station - Newton Corner,558,55580,000000,3
712,FFC72C,Local Bus,"['Point Shirley', 'Orient Heights Station']","['Outbound', 'Inbound']",Local Bus,Point Shirley - Orient Heights Station via Revere Street,712,57120,000000,3
713,FFC72C,Local Bus,"['Point Shirley', 'Orient Heights Station']","['Outbound', 'Inbound']",Local Bus,Point Shirley - Orient Heights Station via Winthrop Center,713,57130,000000,3
714,FFC72C,Local Bus,"['Pemberton Point, Hull', 'Station Street, Hingham']","['Outbound', 'Inbound']",Local Bus,"Pemberton Point, Hull - Station Street, Hingham",714,57140,000000,3
716,FFC72C,Local Bus,"['Cobbs Corner', 'Mattapan Station']","['Outbound', 'Inbound']",Local Bus,Cobbs Corner - Mattapan Station,716,57160,000000,3
